,0,1,clean nationality abbreviation
287,SG,SG,SG
288,SG,PH,PH
289,MY,,MY
290,MY,,MY
291,MY,MY,MY
292,SG,PHL,PH
293,MY,Malaysian,MY
294,MY,MY,MY
295,SG,SG,SG
296,SG,SG,SG
297,MY,Malaysia,MY
298,SG,,SG
299,MY,,MY
300,MY,MY,MY
301,MY,malaysian,MY
302,MY,malaysia,MY
303,MY,Malaysia,MY
304,SG,ID,ID
305,SG,SG,SG
306,SG,,SG
307,MY,MY,MY
308,MY,,MY
309,MY,MY,MY
310,SG,SG,SG
311,MY,MY,MY
312,MY,Malaysia,MY
313,SG,SG,SG
314,MY,Malaysia,MY
315,MY,MY,MY
316,MY,MY,MY
317,SG,SG,SG
318,MY,MY,MY
319,MY,MY,MY
320,SG,GG,GG
321,MY,MY,MY
322,SG,SG,SG
323,SG,MY,MY
324,SG,SG,SG
325,MY,MY,MY
326,SG,,SG
327,SG,MY,MY
328,HK,Hong Kong,HK
329,MY,Malaysian ,MY
330,HK,Hong Kong,HK
331,MY,,MY
332,SG,SG,SG
333,SG,SG,SG
334,MY,MY,MY
335,MY,,MY
336,SG,SG,SG
337,SG,SG,SG
338,SG,SG,SG
339,SG,SG,SG
340,MY,MY,MY
341,MY,,MY
342,SG,SG,SG
343,MY,MY,MY
344,MY,,MY
345,SG,SG,SG
346,SG,Singapore,SG
347,SG,VNM,VN
348,SG,SG,SG
349,MY,,MY
350,SG,MYS,MY
351,SG,SG,SG
352,MY,,MY
353,SG,SG,SG
354,SG,PH,PH
355,SG,TH,TH
356,MY,,MY
357,SG,SG,SG
358,SG,SG,SG
359,SG,MY,MY
360,MY,MALAYSIA,MY
361,MY,,MY
362,SG,SG,SG
363,SG,SGP,SG
364,SG,SG,SG
365,MY,MY,MY
366,SG,SG,SG
367,SG,SG,SG
368,SG,SG,SG
369,SG,SG,SG
370,SG,SG,SG
371,SG,SG,SG
372,SG,SG,SG
373,SG,PHL,PH
374,SG,,SG
375,MY,Malaysia,MY
376,SG,,SG
377,MY,Malaysian,MY
378,HK,,HK
379,SG,SG,SG
380,MY,Malaysian,MY
381,SG,PH,PH
382,MY,Malaysia,MY
383,MY,Malaysian,MY
384,SG,,SG
385,SG,IN,IN
386,MY,,MY
387,MY,,MY
388,HK,HK,HK
389,HK,,HK
390,MY,MY,MY
391,SG,SG,SG
392,SG,SG,SG
393,SG,SG,SG
394,MY,Malaysia,MY
395,SG,SG,SG
396,MY,Malaysia,MY
397,MY,MY,MY
398,MY,Malaysia ,MY
399,SG,SG,SG
400,SG,SG,SG
401,HK,,HK
402,MY,Malaysia,MY
403,SG,MY,MY
404,SG,SG,SG
405,SG,SG,SG
406,SG,SG,SG
407,SG,SG,SG
408,SG,SG,SG
409,SG,SG,SG
410,SG,SG,SG
411,MY,,MY
412,SG,SG,SG
413,SG,SG,SG
414,SG,SG,SG
415,SG,SG,SG
416,MY,MY,MY
417,SG,SG,SG
418,MY,Malaysian,MY
419,SG,SG,SG
420,SG,SG,SG
421,MY,,MY
422,SG,SG,SG
423,SG,SG,SG
424,SG,SGP,SG
425,SG,SG,SG
426,MY,MY,MY
427,HK,HK,HK
428,SG,VN,VN
429,SG,SG,SG
430,MY,MY,MY
431,SG,ID,ID
432,SG,SG,SG
433,SG,SG,SG
434,SG,SG,SG
435,HK,China,CN
436,HK,,HK
437,SG,SG,SG
438,SG,SG,SG
439,SG,MY,MY
440,SG,,SG
441,SG,,SG
442,MY,MY,MY
443,SG,SG,SG
444,MY,MY,MY
445,SG,,SG
446,MY,MY,MY
447,MY,,MY
448,SG,MY,MY
449,SG,AU,AU
450,MY,Malaysia,MY
451,SG,MYS,MY
452,MY,MY,MY
453,SG,PH,PH
454,SG,SG,SG
455,SG,SG,SG
456,SG,SG,SG
457,SG,SG,SG
458,MY,MY,MY
459,SG,SGP,SG
460,HK,,HK
461,MY,,MY
462,SG,SGP,SG
463,SG,SG,SG
464,SG,SG,SG
465,MY,MY,MY
466,TH,Thailand,TH
467,HK,,HK
468,SG,SG,SG
469,SG,SG,SG
470,SG,SG,SG
471,SG,,SG
472,MY,MY,MY
473,MY,MY,MY
474,SG,,SG
475,SG,,SG
476,SG,CN,CN
477,SG,PH,PH
478,MY,MY,MY
479,SG,SG,SG
480,SG,SG,SG
481,SG,SG,SG
482,MY,,MY
483,MY,MY,MY
484,HK,,HK
485,SG,SG,SG
486,MY,,MY
487,TH,Thai,TH
488,MY,MY,MY
489,SG,SG,SG
490,SG,SG,SG
491,SG,SG,SG
492,MY,,MY
493,SG,SG,SG
494,MY,MY,MY
495,MY,,MY
496,SG,SG,SG
497,SG,,SG
498,SG,SG,SG
499,MY,MY,MY
500,MY,Malaysian,MY
501,MY,,MY
502,SG,BU,BG
503,SG,SG,SG
504,SG,SG,SG
505,SG,SG,SG
506,SG,SG,SG
507,MY,Malaysia,MY
508,MY,,MY
509,SG,SG,SG
510,MY,Malaysia,MY
511,SG,SG,SG
512,SG,,SG
513,HK,中國,CN
514,MY,Malaysian,MY
515,MY,,MY
516,SG,SG,SG
517,SG,SG,SG
518,SG,ID,ID
519,SG,SG,SG
520,MY,Malaysian,MY
521,SG,,SG
522,SG,SG,SG
523,MY,,MY
524,MY,MY,MY
525,MY,MY,MY
526,SG,SG,SG
527,MY,MY,MY
528,SG,SG,SG
529,SG,SG,SG
530,MY,,MY
531,SG,,SG
532,MY,,MY
533,MY,MY,MY
534,SG,SG,SG
535,MY,Malaysian,MY
536,SG,SGP,SG
537,SG,SG,SG
538,MY,Malaysian,MY
539,HK,HK,HK
540,MY,Malaysia,MY
541,MY,MY,MY
542,MY,MY,MY
543,HK,HK,HK
544,SG,SG,SG
545,SG,SG,SG
546,SG,,SG
547,SG,SG,SG
548,SG,SG,SG
549,SG,SG,SG
550,SG,SG,SG
551,SG,SG,SG
552,MY,MY,MY
553,MY,MY,MY
554,MY,,MY
555,SG,,SG
556,SG,SG,SG
557,SG,SG,SG
558,MY,MY,MY
559,SG,PH,PH
560,MY,MY,MY
561,SG,SGP,SG
562,MY,MY,MY
563,SG,SG,SG
564,SG,SG,SG
565,MY,,MY
566,SG,SG,SG
567,MY,,MY
568,MY,MY,MY
569,SG,,SG
570,SG,SG,SG
571,MY,,MY
572,SG,SG,SG
573,MY,,MY
574,HK,,HK
575,SG,SG,SG
576,MY,Malaysia,MY
577,SG,,SG
578,MY,,MY
579,SG,SG,SG
580,SG,SG,SG
581,MY,MY,MY
582,SG,SG,SG
583,HK,HK,HK
584,SG,SG,SG
585,MY,,MY
586,MY,,MY
587,MY,,MY
588,MY,Malaysian,MY
589,MY,Malaysia,MY
590,SG,SG,SG
591,SG,MMR,MM
592,SG,MY,MY
593,SG,PH,PH
594,SG,BU,BG
595,SG,BU,BG
596,MY,Malaysia,MY
597,MY,MY,MY
598,SG,SG,SG
599,SG,SG,SG
600,SG,,SG
601,SG,Filipino,PH
602,SG,SG,SG
603,SG,MY,MY
604,MY,MY,MY
605,SG,SG,SG
606,SG,SG,SG
607,SG,,SG
608,MY,MY,MY
609,SG,SG,SG
610,SG,,SG
611,MY,Malaysia ,MY
612,SG,SG,SG
613,MY,MY,MY
614,MY,MALAYSIAN,MY
615,MY,MY,MY
616,MY,MY,MY
617,MY,,MY
618,MY,Malaysia,MY
619,SG,,SG
620,SG,SG,SG
621,SG,SG,SG
622,SG,SG,SG
623,SG,MY,MY
624,SG,IN,IN
625,SG,SG,SG
626,SG,PK,PK
627,SG,SG,SG
628,MY,,MY
629,SG,SG,SG
630,SG,SG,SG
631,SG,SG,SG
632,SG,SG,SG
633,MY,MY,MY
634,SG,SG,SG
635,SG,PH,PH
636,MY,,MY
637,MY,MY,MY
638,MY,,MY
639,SG,SG,SG
640,SG,SG,SG
641,SG,SG,SG
642,MY,MY,MY
643,SG,SG,SG
644,SG,SG,SG
645,MY,,MY
646,SG,US,US
647,SG,PH,PH
648,MY,MY,MY
649,SG,,SG
650,MY,,MY
651,SG,SG,SG
652,SG,SG,SG
653,SG,SG,SG
654,SG,,SG
655,SG,SG,SG
656,SG,PH,PH
657,SG,CN,CN
658,SG,MY,MY
659,MY,MY,MY
660,SG,SG,SG
661,MY,MY,MY
662,SG,SG,SG
663,SG,SG,SG
664,SG,SG,SG
665,SG,SG,SG
666,SG,SG,SG
667,MY,Malaysia,MY
668,MY,Malaysia,MY
669,SG,SG,SG
670,SG,SG,SG
671,SG,SG,SG
672,MY,,MY
673,SG,,SG
674,SG,MY,MY
675,MY,Malaysia,MY
676,MY,,MY
677,SG,SG,SG
678,SG,SG,SG
679,SG,SG,SG
680,SG,SG,SG
681,HK,Hong Kong,HK
682,SG,,SG
683,MY,Malaysia,MY
684,MY,,MY
685,MY,MY,MY
686,SG,PH,PH
687,SG,SG,SG
688,MY,Malaysian,MY
689,MY,,MY
690,SG,SG,SG
691,SG,MY,MY
692,SG,SG,SG
693,SG,SG,SG
694,MY,,MY
695,SG,,SG
696,SG,SG,SG
697,SG,SG,SG
698,SG,SG,SG
699,SG,PHL,PH
700,MY,MALAYSIA,MY
701,MY,,MY
702,SG,SG,SG
703,MY,,MY
704,MY,Malaysia,MY
705,SG,SG,SG
706,SG,SG,SG
707,SG,SG,SG
708,SG,MY,MY
709,SG,SG,SG
710,SG,,SG
711,MY,,MY
712,SG,SG,SG
713,SG,PH,PH
714,SG,SGP,SG
715,TH,,TH
716,MY,Malaysia,MY
717,SG,SG,SG
718,MY,Malay,MY
719,HK,,HK
720,SG,SG,SG
721,SG,PH,PH
722,MY,,MY
723,SG,SG,SG
724,MY,,MY
725,MY,MY,MY
726,SG,SG,SG
727,MY,MY,MY
728,MY,MY,MY
729,MY,Malaysian,MY
730,MY,MY,MY
731,SG,TW,TW
732,MY,MY,MY
733,MY,Malaysia,MY
734,MY,,MY
735,MY,MY,MY
736,SG,SG,SG
737,SG,SG,SG
738,MY,MY,MY
739,MY,,MY
740,SG,,SG
741,MY,Malaysia,MY
742,SG,IN,IN
743,SG,SG,SG
744,SG,SG,SG
745,SG,SG,SG
746,MY,Malaysia,MY
747,SG,,SG
748,MY,Malaysia,MY
749,SG,SG,SG
750,SG,SG,SG
751,MY,,MY
752,SG,SG,SG
753,MY,MY,MY
754,MY,Malaysia,MY
755,MY,Malaysia,MY
756,SG,SG,SG
757,SG,SG,SG
758,SG,SG,SG
759,MY,Malaysian,MY
760,SG,SG,SG
761,MY,Malaysia,MY
762,SG,SG,SG
763,SG,MY,MY
764,SG,ID,ID
765,SG,SG,SG
766,SG,SG,SG
767,SG,SG,SG
768,SG,SG,SG
769,MY,MY,MY
770,SG,PH,PH
771,SG,BU,BG
772,SG,SG,SG
773,SG,,SG
774,MY,MY,MY
775,SG,SG,SG
776,SG,JPN,JP
777,SG,MY,MY
778,MY,,MY
779,MY,Malaysia,MY
780,SG,SG,SG
781,SG,SG,SG
782,MY,MY,MY
783,MY,,MY
784,SG,SG,SG
785,SG,AUS,AU
786,SG,SG,SG
787,SG,SG,SG
788,SG,SG,SG
789,SG,SG,SG
790,SG,PH,PH
791,MY,MY,MY
792,SG,SG,SG
793,MY,,MY
794,SG,US,US
795,MY,,MY
796,SG,SG,SG
797,SG,MY,MY
798,SG,MY,MY
799,MY,MY,MY
800,MY,,MY
801,SG,PH,PH
802,SG,SG,SG
803,MY,MY,MY
804,SG,SG,SG
805,SG,MY,MY
806,MY,,MY
807,SG,SG,SG
808,HK,,HK
809,SG,SG,SG
810,MY,Malaysian,MY
811,MY,MY,MY
812,SG,SG,SG
813,SG,SG,SG
814,MY,MY,MY
815,SG,SG,SG
816,SG,,SG
817,SG,SG,SG
818,SG,MYS,MY
819,SG,SGP,SG
820,MY,MY,MY
821,SG,SG,SG
822,MY,MY,MY
823,MY,MY,MY
824,SG,MY,MY
825,MY,Malaysian,MY
826,SG,SG,SG
827,MY,,MY
828,HK,,HK
829,MY,MY,MY
830,SG,SG,SG
831,MY,MY,MY
832,SG,,SG
833,MY,MY,MY
834,SG,SG,SG
835,SG,SG,SG
836,SG,SG,SG
837,SG,MY,MY
838,MY,MY,MY
839,SG,SG,SG
840,SG,SG,SG
841,MY,MY,MY
842,SG,PH,PH
843,SG,SG,SG
844,MY,MY,MY
845,MY,MY,MY
846,SG,SG,SG
847,MY,MY,MY
848,MY,Malaysia,MY
849,SG,MY,MY
850,SG,SG,SG
851,MY,,MY
852,SG,SG,SG
853,MY,MY,MY
854,SG,SG,SG
855,HK,HK,HK
856,SG,SG,SG
857,SG,,SG
858,SG,,SG
859,MY,Malaysia,MY
860,SG,SG,SG
861,SG,SG,SG
862,SG,SG,SG
863,SG,SG,SG
864,SG,SG,SG
865,SG,SG,SG
866,SG,SG,SG
867,SG,SG,SG
868,MY,MY,MY
869,SG,SG,SG
870,MY,Malaysia,MY
871,MY,,MY
872,SG,SG,SG
873,SG,SG,SG
874,MY,MY,MY
875,MY,MY,MY
876,SG,SG,SG
877,MY,MY,MY
878,SG,SG,SG
879,MY,,MY
880,SG,,SG
881,SG,IN,IN
882,SG,SG,SG
883,MY,MY,MY
884,MY,,MY
885,SG,SG,SG
886,SG,,SG
887,MY,MY,MY
888,MY,malaysia,MY
889,MY,Malaysia,MY
890,SG,SG,SG
891,SG,SG,SG
892,SG,SG,SG
893,SG,PH,PH
894,HK,Hong Kong,HK
895,MY,MY,MY
896,SG,SG,SG
897,SG,SG,SG
898,SG,PH,PH
899,SG,SG,SG
900,SG,,SG
901,SG,SG,SG
902,SG,SG,SG
903,MY,,MY
904,SG,SG,SG
905,SG,SG,SG
906,SG,SG,SG
907,MY,MY,MY
908,MY,MY,MY
909,MY,Malaysia,MY
910,SG,MY,MY
911,SG,SG,SG
912,SG,SG,SG
913,MY,,MY
914,SG,SG,SG
915,MY,MY,MY
916,SG,MY,MY
917,SG,PH,PH
918,SG,MY,MY
919,MY,MY,MY
920,SG,SG,SG
921,SG,SG,SG
922,SG,SG,SG
923,JP,,JP
924,SG,SG,SG
925,SG,PH,PH
926,SG,ID,ID
927,SG,,SG
928,MY,Malaysia,MY
929,SG,SG,SG
930,SG,,SG
931,SG,SG,SG
932,SG,SG,SG
933,SG,SG,SG
934,TH,,TH
935,MY,,MY
936,SG,,SG
937,MY,MY,MY
938,MY,MY,MY
939,SG,ID,ID
940,SG,SG,SG
941,MY,MALAYSIA,MY
942,MY,,MY
943,MY,MY,MY
944,SG,PH,PH
945,SG,MY,MY
946,MY,MY,MY
947,MY,MY,MY
948,SG,,SG
949,SG,SG,SG
950,SG,SG,SG
951,MY,,MY
952,SG,MY,MY
953,SG,,SG
954,MY,,MY
955,SG,,SG
956,SG,SG,SG
957,MY,MY,MY
958,MY,Malaysia,MY
959,TH,,TH
960,SG,SG,SG
961,SG,SG,SG
962,SG,SG,SG
963,MY,,MY
964,SG,SG,SG
965,MY,,MY
966,SG,SG,SG
967,SG,SG,SG
968,SG,SG,SG
969,MY,MY,MY
970,SG,,SG
971,SG,SG,SG
972,SG,PH,PH
973,SG,PH,PH
974,MY,MY,MY
975,SG,PH,PH
976,HK,,HK
977,MY,,MY
978,SG,SG,SG
979,SG,SG,SG
980,SG,MY,MY
981,MY,MY,MY
982,SG,MY,MY
983,SG,FR,FR
984,MY,MY,MY
985,SG,SG,SG
986,MY,,MY
987,MY,MY,MY
988,MY,MY,MY
989,SG,SG,SG
990,HK,Chinese,CN
991,SG,SG,SG
992,SG,,SG
993,SG,SG,SG
994,MY,MY,MY
995,MY,MY,MY
996,MY,,MY
997,SG,SG,SG
998,SG,,SG
999,SG,SG,SG
1000,MY,Malaysia,MY
1001,SG,SG,SG
1002,MY,Malaysia,MY
1003,SG,SG,SG
1004,SG,SG,SG
1005,MY,,MY
1006,SG,,SG
1007,SG,SG,SG
1008,SG,PH,PH
1009,MY,MALAYSIA,MY
1010,SG,SG,SG
1011,TH,,TH
1012,SG,,SG
1013,MY,Malaysia,MY
1014,MY,Malaysia,MY
1015,SG,SG,SG
1016,MY,MY,MY
1017,SG,SG,SG
1018,MY,malaysian,MY
1019,SG,SG,SG
1020,SG,PH,PH
1021,MY,Malaysia,MY
1022,SG,,SG
1023,MY,,MY
1024,SG,SG,SG
1025,SG,MY,MY
1026,SG,PH,PH
1027,SG,SG,SG
1028,SG,SG,SG
1029,SG,IT,IT
1030,SG,SG,SG
1031,SG,SG,SG
1032,MY,MY,MY
1033,HK,China,CN
1034,SG,PH,PH
1035,MY,Malaysia,MY
1036,MY,,MY
1037,SG,,SG
1038,SG,SG,SG
1039,SG,SG,SG
1040,SG,SG,SG
1041,SG,SG,SG
1042,SG,SG,SG
1043,SG,SG,SG
1044,SG,SG,SG
1045,MY,,MY
1046,MY,,MY
1047,SG,PHL,PH
1048,SG,SG,SG
1049,MY,,MY
1050,SG,SG,SG
1051,MY,MY,MY
1052,MY,MY,MY
1053,SG,,SG
1054,SG,SG,SG
1055,SG,SG,SG
1056,SG,SG,SG
1057,SG,SG,SG
1058,HK,,HK
1059,MY,MY,MY
1060,SG,SG,SG
1061,MY,,MY
1062,MY,MY,MY
1063,SG,SG,SG
1064,SG,SG,SG
1065,SG,SG,SG
1066,MY,MY,MY
1067,MY,,MY
1068,SG,SG,SG
1069,SG,SG,SG
1070,SG,,SG
1071,MY,Malaysian,MY
1072,SG,SG,SG
1073,SG,SG,SG
1074,HK,Hong Kong,HK
1075,MY,MY,MY
1076,SG,SGP,SG
1077,SG,SG,SG
1078,MY,,MY
1079,MY,Malaysia,MY
1080,MY,,MY
1081,SG,SG,SG
1082,SG,SG,SG
1083,SG,SG,SG
1084,MY,MY,MY
1085,SG,SG,SG
1086,SG,SG,SG
1087,SG,SG,SG
1088,MY,MY,MY
1089,MY,,MY
1090,SG,SG,SG
1091,SG,SG,SG
1092,MY,MY,MY
1093,SG,SG,SG
1094,MY,,MY
1095,SG,SG,SG
1096,SG,IN,IN
1097,MY,,MY
